# Equatorial Pacific Tree Ring Based SST Reconstruction 1100-2000 CE
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data.
# If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with '#' followed by a space
# Data lines have no '#'
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39379
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-39379.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI:
#
# Science_Keywords: sea surface temperature reconstruction, ENSO
#---------------------------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/cook2024/cook2024-ENSO-latlon.txt
#   Data_Download_Description: NOAA Template File; ENSO Reconstruction Grid Location Lat/Lon Data
#
#---------------------------------------
# Contribution_Date
#   Date: 2024-04-15
#---------------------------------------
# File_Last_Modified_Date
#   Date: 2024-04-15
#---------------------------------------
# Title
#   Study_Name: Equatorial Pacific Tree Ring Based SST Reconstruction 1100-2000 CE
#---------------------------------------
# Investigators
#   Investigators: Cook, Edward R.; Cane, Mark A.
#---------------------------------------
# Description_Notes_and_Keywords
#   Description: Each column number of SST values (1-2397) in the data files corresponds to its respective grid point number's coordinates in cook2024-ENSO-latlon.txt
#---------------------------------------
# Publication
#   Authors: Cook, Edward R. and Mark A. Cane
#   Published_Date_or_Year: 2024
#   Published_Title: Tree Rings Reveal ENSO in the Last Millennium
#   Journal_Name: Geophysical Research Letters
#   Volume: 
#   Edition: 
#   Issue: 
#   Pages: 
#   Report_Number: 
#   DOI: 
#   Online_Resource: 
#   Full_Citation: 
#   Abstract: 
#---------------------------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#---------------------------------------
# Site_Information
#   Site_Name: Equatorial Pacific 10N to 10S
#   Location: Pacific Ocean
#   Northernmost_Latitude: 10
#   Southernmost_Latitude: -10
#   Easternmost_Longitude: -80
#   Westernmost_Longitude: 160
#   Elevation_m: 
#---------------------------------------
# Data_Collection
#   Collection_Name: ENSO Grid Lat/Lon Cook2024
#   First_Year: 
#   Last_Year: 
#   Time_Unit: 
#   Core_Length_m: 
#   Parameter_Keywords: sea surface temperature
#   Notes: 
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## gridpoint	notes,,, ,,climate reconstructions,,,N,grid point number
## lat	latitude,,,degree north,,climate reconstructions,,,N,
## lon	longitude,,,degree east,,climate reconstructions,,,N,
## notes	notes,,,,,climate reconstructions,,,N,
#------------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing_Values: NA
gridpoint	lat	lon	notes
82	9.5	-98.5	Hadley ENSO SST
83	9.5	-97.5	Hadley ENSO SST
84	9.5	-96.5	Hadley ENSO SST
85	9.5	-95.5	Hadley ENSO SST
86	9.5	-94.5	Hadley ENSO SST
87	9.5	-93.5	Hadley ENSO SST
88	9.5	-92.5	Hadley ENSO SST
89	9.5	-91.5	Hadley ENSO SST
90	9.5	-90.5	Hadley ENSO SST
91	9.5	-89.5	Hadley ENSO SST
92	9.5	-88.5	Hadley ENSO SST
93	9.5	-87.5	Hadley ENSO SST
94	9.5	-86.5	Hadley ENSO SST
95	9.5	-85.5	Hadley ENSO SST
96	9.5	-84.5	Hadley ENSO SST
97	9.5	-82.5	Hadley ENSO SST
98	9.5	-81.5	Hadley ENSO SST
99	9.5	-80.5	Hadley ENSO SST
100	9.5	160.5	Hadley ENSO SST
101	9.5	161.5	Hadley ENSO SST
102	9.5	162.5	Hadley ENSO SST
103	9.5	163.5	Hadley ENSO SST
104	9.5	164.5	Hadley ENSO SST
105	9.5	165.5	Hadley ENSO SST
106	9.5	166.5	Hadley ENSO SST
107	9.5	167.5	Hadley ENSO SST
108	9.5	168.5	Hadley ENSO SST
109	9.5	169.5	Hadley ENSO SST
110	9.5	170.5	Hadley ENSO SST
111	9.5	171.5	Hadley ENSO SST
112	9.5	172.5	Hadley ENSO SST
113	9.5	173.5	Hadley ENSO SST
114	9.5	174.5	Hadley ENSO SST
115	9.5	175.5	Hadley ENSO SST
116	9.5	176.5	Hadley ENSO SST
117	9.5	177.5	Hadley ENSO SST
118	9.5	178.5	Hadley ENSO SST
119	9.5	179.5	Hadley ENSO SST
120	8.5	-179.5	Hadley ENSO SST
121	8.5	-178.5	Hadley ENSO SST
122	8.5	-177.5	Hadley ENSO SST
123	8.5	-176.5	Hadley ENSO SST
124	8.5	-175.5	Hadley ENSO SST
125	8.5	-174.5	Hadley ENSO SST
126	8.5	-173.5	Hadley ENSO SST
127	8.5	-172.5	Hadley ENSO SST
128	8.5	-171.5	Hadley ENSO SST
129	8.5	-170.5	Hadley ENSO SST
130	8.5	-169.5	Hadley ENSO SST
131	8.5	-168.5	Hadley ENSO SST
132	8.5	-167.5	Hadley ENSO SST
133	8.5	-166.5	Hadley ENSO SST
134	8.5	-165.5	Hadley ENSO SST
135	8.5	-164.5	Hadley ENSO SST
136	8.5	-163.5	Hadley ENSO SST
137	8.5	-162.5	Hadley ENSO SST
138	8.5	-161.5	Hadley ENSO SST
139	8.5	-160.5	Hadley ENSO SST
140	8.5	-159.5	Hadley ENSO SST
141	8.5	-158.5	Hadley ENSO SST
142	8.5	-157.5	Hadley ENSO SST
143	8.5	-156.5	Hadley ENSO SST
144	8.5	-155.5	Hadley ENSO SST
145	8.5	-154.5	Hadley ENSO SST
146	8.5	-153.5	Hadley ENSO SST
147	8.5	-152.5	Hadley ENSO SST
148	8.5	-151.5	Hadley ENSO SST
149	8.5	-150.5	Hadley ENSO SST
150	8.5	-149.5	Hadley ENSO SST
151	8.5	-148.5	Hadley ENSO SST
152	8.5	-147.5	Hadley ENSO SST
153	8.5	-146.5	Hadley ENSO SST
154	8.5	-145.5	Hadley ENSO SST
155	8.5	-144.5	Hadley ENSO SST
156	8.5	-143.5	Hadley ENSO SST
157	8.5	-142.5	Hadley ENSO SST
158	8.5	-141.5	Hadley ENSO SST
159	8.5	-140.5	Hadley ENSO SST
160	8.5	-139.5	Hadley ENSO SST
161	8.5	-138.5	Hadley ENSO SST
162	8.5	-137.5	Hadley ENSO SST
163	8.5	-136.5	Hadley ENSO SST
164	8.5	-135.5	Hadley ENSO SST
165	8.5	-134.5	Hadley ENSO SST
166	8.5	-133.5	Hadley ENSO SST
167	8.5	-132.5	Hadley ENSO SST
168	8.5	-131.5	Hadley ENSO SST
169	8.5	-130.5	Hadley ENSO SST
170	8.5	-129.5	Hadley ENSO SST
171	8.5	-128.5	Hadley ENSO SST
172	8.5	-127.5	Hadley ENSO SST
173	8.5	-126.5	Hadley ENSO SST
174	8.5	-125.5	Hadley ENSO SST
175	8.5	-124.5	Hadley ENSO SST
176	8.5	-123.5	Hadley ENSO SST
177	8.5	-122.5	Hadley ENSO SST
178	8.5	-121.5	Hadley ENSO SST
179	8.5	-120.5	Hadley ENSO SST
180	8.5	-119.5	Hadley ENSO SST
181	8.5	-118.5	Hadley ENSO SST
182	8.5	-117.5	Hadley ENSO SST
183	8.5	-116.5	Hadley ENSO SST
184	8.5	-115.5	Hadley ENSO SST
185	8.5	-114.5	Hadley ENSO SST
186	8.5	-113.5	Hadley ENSO SST
187	8.5	-112.5	Hadley ENSO SST
188	8.5	-111.5	Hadley ENSO SST
189	8.5	-110.5	Hadley ENSO SST
190	8.5	-109.5	Hadley ENSO SST
191	8.5	-108.5	Hadley ENSO SST
192	8.5	-107.5	Hadley ENSO SST
193	8.5	-106.5	Hadley ENSO SST
194	8.5	-105.5	Hadley ENSO SST
195	8.5	-104.5	Hadley ENSO SST
196	8.5	-103.5	Hadley ENSO SST
197	8.5	-102.5	Hadley ENSO SST
198	8.5	-101.5	Hadley ENSO SST
199	8.5	-100.5	Hadley ENSO SST
200	8.5	-99.5	Hadley ENSO SST
201	8.5	-98.5	Hadley ENSO SST
202	8.5	-97.5	Hadley ENSO SST
203	8.5	-96.5	Hadley ENSO SST
204	8.5	-95.5	Hadley ENSO SST
205	8.5	-94.5	Hadley ENSO SST
206	8.5	-93.5	Hadley ENSO SST
207	8.5	-92.5	Hadley ENSO SST
208	8.5	-91.5	Hadley ENSO SST
209	8.5	-90.5	Hadley ENSO SST
210	8.5	-89.5	Hadley ENSO SST
211	8.5	-88.5	Hadley ENSO SST
212	8.5	-87.5	Hadley ENSO SST
213	8.5	-86.5	Hadley ENSO SST
214	8.5	-85.5	Hadley ENSO SST
215	8.5	-84.5	Hadley ENSO SST
216	8.5	-83.5	Hadley ENSO SST
217	8.5	-82.5	Hadley ENSO SST
218	8.5	-81.5	Hadley ENSO SST
219	8.5	-80.5	Hadley ENSO SST
220	8.5	160.5	Hadley ENSO SST
221	8.5	161.5	Hadley ENSO SST
222	8.5	162.5	Hadley ENSO SST
223	8.5	163.5	Hadley ENSO SST
224	8.5	164.5	Hadley ENSO SST
225	8.5	165.5	Hadley ENSO SST
226	8.5	166.5	Hadley ENSO SST
227	8.5	167.5	Hadley ENSO SST
228	8.5	168.5	Hadley ENSO SST
229	8.5	169.5	Hadley ENSO SST
230	8.5	170.5	Hadley ENSO SST
231	8.5	171.5	Hadley ENSO SST
232	8.5	172.5	Hadley ENSO SST
233	8.5	173.5	Hadley ENSO SST
234	8.5	174.5	Hadley ENSO SST
235	8.5	175.5	Hadley ENSO SST
236	8.5	176.5	Hadley ENSO SST
