Year,temp_winter,Location,temp_summer,temp_winter_europe,temp_summer_europe,loc_id,lon,lat,PDSI,PDSI_europe,PDSI_southern,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,nino3,nino34,nino4,nino12,JSL,NAO_cal,NAO_model,LocationSpecies,Price,Species,Latitude,Longitude,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,logprice
1500,-0.9294907034852802,Amsterdam,0.046393009193508805,-0.5834294586441428,0.09511927213084587,2,4.75,52.25,-0.49215714211124634,-0.7212960747905117,-1.5841478344397173,-11.69461789906812,-7.862071972092759,3.423454242090361,1.530405032374305,-0.15503659999999986,-0.1625159799999998,-0.13941193333333346,-0.11759397959183532,0.902820899,0.143463,1.13431,AmsterdamHerring,42.36,Herring,52.3730796,4.8924534,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,3.7462045207332055
1501,0.7192245652940965,Amsterdam,-0.06648502807382509,0.4245532779980156,-0.055762120148231065,2,4.75,52.25,-0.9937036096681763,-0.37525003134016544,-0.3930212572800374,7.6256932747388,1.670305655932776,7.30808137153389,2.2341296365767267,-0.47998326666666646,-0.48515997999999977,-0.4374619333333334,-0.4283796938775495,-3.077853339,-0.599483,-0.479673,AmsterdamHerring,36.0,Herring,52.3730796,4.8924534,29233.333333333332,10.0,4.0,28.0,2923.333333333333,3.58351893845611
1502,-0.3731684384808321,Amsterdam,-0.032025532005349744,-0.2296429507281909,-0.005292222817839968,2,4.75,52.25,-2.8926946810576752,-0.456032011489104,-0.6171353319790184,-10.412834562779777,-3.451373039593652,5.254800622217371,1.9735186730346514,0.12936673333333348,0.14872002000000026,0.12036806666666663,0.05569173469387874,0.244743395,-0.213222,0.0599184,AmsterdamHerring,32.4,Herring,52.3730796,4.8924534,32066.666666666664,11.0,2.0,4.0,2915.151515151515,3.4781584227982836
1503,-0.6610772425950885,Amsterdam,0.17172443540518462,-0.38755460569533745,-0.03872800417267792,2,4.75,52.25,-4.137562746397887,-0.8398783388309022,-0.14462525795209086,-6.4652636471458385,-11.886023498546837,4.07659427657758,3.4738911269439883,0.06338340000000012,0.045396020000000224,0.019038066666666537,0.06606928571428701,-2.057649767,-0.58143,-0.0461077,AmsterdamHerring,35.16,Herring,52.3730796,4.8924534,28733.333333333332,10.0,2.0,9.0,2873.333333333333,3.559909072816976
1504,0.10908727608487691,Amsterdam,0.34032370821475405,-0.07732019690983417,0.016196902867204273,2,4.75,52.25,-1.4639523257394944,-0.8442011599841958,0.4046766400492545,-1.9110702213787778,-15.075740838037852,6.74238718387196,3.4689996153633214,0.37381673333333343,0.3842140200000002,0.3630880666666667,0.3433856122448993,-0.611973948,-0.622003,-0.645609,AmsterdamHerring,48.0,Herring,52.3730796,4.8924534,4533.333333333334,7.0,0.0,0.0,647.6190476190477,3.871201010907891
1505,0.4994037396965328,Amsterdam,-0.10455411647863484,0.3627894469629121,-0.2126905655682648,2,4.75,52.25,0.03520997042131333,0.18732466858199776,-0.5885949200512093,1.9967479841845304,5.285278025165514,6.359450872655395,4.293057060826501,-0.07281659999999983,-0.08424397999999984,-0.06831526666666678,-0.022093979591835414,-2.215751038,-0.385059,0.187286,AmsterdamHerring,33.6,Herring,52.3730796,4.8924534,1200.0,7.0,2.0,2.0,171.42857142857142,3.5145260669691587
1506,1.3386959885318073,Amsterdam,0.08428486720537254,0.3079332758543404,-0.15304167178135356,2,4.75,52.25,0.6775963196634965,0.26670224844887697,0.03881609587099142,17.03458023947139,-6.368358049855018,6.52022726942553,3.702005240415833,-0.5610899333333333,-0.5686119799999998,-0.5076152666666667,-0.4943184693877536,-1.532747851,-0.330529,0.0606492,AmsterdamHerring,31.2,Herring,52.3730796,4.8924534,3000.0,9.0,4.0,6.0,333.3333333333333,3.4404180948154366
1507,0.7435957135507656,Amsterdam,0.05048703127056241,0.12070757064689303,-0.05168947407272664,2,4.75,52.25,0.1064123550510803,1.2108266754058252,0.044647183797323166,16.58810032803522,-1.5011232890186483,6.6306195229584555,2.8588540697042957,0.13066006666666682,0.15687602000000017,0.1306980666666666,0.04330397959183823,-0.330155781,0.229714,-0.321967,AmsterdamHerring,46.8,Herring,52.3730796,4.8924534,3600.0,9.0,3.0,4.0,400.0,3.845883202923601
1508,-0.7939842834919135,Amsterdam,-0.1992837615082941,-0.39420152736549424,-0.28665900167837094,2,4.75,52.25,-0.3763554616144825,0.319480956735225,-0.017326590365277443,0.45836459173218724,0.7409905278860234,5.666115612824379,4.270606144450575,0.32778673333333347,0.3175640200000003,0.26630806666666657,0.293691734693879,-2.481220902,0.476179,0.968338,AmsterdamHerring,48.0,Herring,52.3730796,4.8924534,5733.333333333334,6.0,1.0,3.0,955.5555555555557,3.871201010907891
1509,-0.412694754560976,Amsterdam,-0.04902783436864,-0.32535945423416296,-0.2674854424195612,2,4.75,52.25,0.3317561657474856,0.5181480724100913,0.2974919597362635,-9.886798119532017,-5.8493642167299384,2.707227989484224,3.478154420919609,-0.32638493333333324,-0.35337197999999986,-0.31284860000000003,-0.2325939795918354,-0.196707436,0.52842,0.586647,AmsterdamHerring,42.0,Herring,52.3730796,4.8924534,4333.333333333334,6.0,2.0,4.0,722.2222222222223,3.7376696182833684
1510,0.14078394724998236,Amsterdam,-0.20143415694270606,-0.050444809890155644,-0.14530208116856402,2,4.75,52.25,0.5398862131268044,0.8247971096656982,-0.5291699039814893,-3.2972406257023485,3.3364612267765184,4.033906232007276,3.152895093444983,-0.38413826666666656,-0.3732659799999998,-0.33341526666666665,-0.36647153061224325,-0.401114591,-0.261194,0.0629704,AmsterdamHerring,44.16,Herring,52.3730796,4.8924534,4333.333333333334,5.0,2.0,2.0,866.6666666666667,3.78781940196884
1511,-0.8964313275210786,Amsterdam,-0.6480961009250852,-0.5459354177694768,-0.40294047945810385,2,4.75,52.25,0.8153064262001888,0.22411778472159716,-0.6016402589258072,-14.804473405788167,4.5009128560465586,4.983657915021553,4.124886067089575,1.1041134000000001,1.1547380200000001,1.0408680666666668,0.9029264285714301,0.979323606,0.80343,0.998086,AmsterdamHerring,42.0,Herring,52.3730796,4.8924534,5375.0,4.0,2.0,6.0,1343.75,3.7376696182833684
1512,-0.8672001280445114,Amsterdam,0.045802241217022026,-0.5296088570327996,-0.015366485079211735,2,4.75,52.25,0.42173720126861974,-0.40878816849756805,-0.7579632581616116,-8.041399092858793,-2.6963555526817204,6.080401119359919,3.9713450999442452,-0.5314765999999999,-0.6089179799999997,-0.5625352666666666,-0.3376347959183658,0.715458876,0.181379,0.196449,AmsterdamHerring,45.0,Herring,52.3730796,4.8924534,9775.0,8.0,5.0,14.0,1221.875,3.8066624897703196
1513,-0.8997790127211704,Amsterdam,-0.20744226726357687,-0.707702584495999,-0.26368194141020307,2,4.75,52.25,-1.0077875978367017,-0.22612221265583365,-0.041810161124125396,-9.48553013133543,4.30764959074029,5.216505677071998,3.5868688647969433,-0.31243326666666654,-0.27889197999999976,-0.20875193333333328,-0.30665520408163105,-2.809514715,0.185614,0.246433,AmsterdamHerring,45.0,Herring,52.3730796,4.8924534,19775.0,7.0,3.0,4.0,2825.0,3.8066624897703196
1514,-0.9415344932992579,Amsterdam,-0.28721957480835514,-0.728896750358846,-0.344842907724199,2,4.75,52.25,0.3567943669359751,0.11995870331112227,0.07469039908859622,-7.389189840570345,1.483626669014959,3.389973227613923,2.8710659402300394,0.2613484000000001,0.2826560200000001,0.22621139999999987,0.1649570408163279,-0.4215496,0.484727,0.254751,AmsterdamHerring,49.2,Herring,52.3730796,4.8924534,10775.0,5.0,1.0,1.0,2155.0,3.8958936234982624
1515,1.33276467804788,Amsterdam,-0.2786357161100018,0.6559344645920296,-0.3309925518356834,2,4.75,52.25,-0.10562991126394,0.0753238895548347,-1.046132062076625,19.572625151330474,2.5597189982037722,7.251386214093012,3.8483757473113105,0.08990506666666681,0.06580402000000021,0.04863139999999992,0.10801826530612389,-0.227701333,0.395779,0.316102,AmsterdamHerring,40.8,Herring,52.3730796,4.8924534,8275.0,6.0,5.0,16.0,1379.1666666666667,3.708682081410116
1516,0.404384618358395,Amsterdam,0.11554830852105427,0.02752597259207981,-0.028731212803614428,2,4.75,52.25,-3.85588298302738,-0.654480670113631,-0.7311693697332542,6.844741026558835,-14.380370670399842,5.423680599760406,0.2004881071690765,-0.5438599333333332,-0.5649799799999997,-0.5048219333333334,-0.44657357142857,0.080545355,0.182902,-0.042252,AmsterdamHerring,41.4,Herring,52.3730796,4.8924534,7275.0,8.0,4.0,6.0,909.375,3.7232808808312687
1519,0.12656613128253322,Amsterdam,-0.13242654960928232,-0.2602042242779845,-0.32729403774644067,2,4.75,52.25,-0.11110701777392207,-0.5188662823182252,0.40105831964051675,5.26092179307309,2.7616812872583534,5.374308370179719,4.666839116547857,0.19687006666666687,0.17511802000000026,0.1408114,0.20232438775510345,0.277732678,0.443957,0.297566,AmsterdamHerring,40.32,Herring,52.3730796,4.8924534,3400.0,9.0,6.0,17.0,377.77777777777777,3.696847623763113
1520,0.8182766626850508,Amsterdam,0.02353619618323434,0.12285971108349383,-0.15670662901032795,2,4.75,52.25,0.6134359291179923,-0.20567585599468818,0.3161458940459108,15.562320745090366,-7.388524171911536,6.562316190648609,2.238079945497836,0.5186450666666667,0.5334340200000002,0.5085314000000001,0.48767132653061374,-1.860499453,0.427161,0.980838,AmsterdamHerring,48.12,Herring,52.3730796,4.8924534,2400.0,8.0,2.0,8.0,300.0,3.873697891106478
1521,0.9930888453806731,Amsterdam,-0.05702683277027133,0.2844244690654424,-0.11239960116721402,2,4.75,52.25,0.0015648875742805925,0.5889048226754061,-1.3959180572088625,11.699147366614895,1.1693008489925025,4.7661385852393225,2.681106696748122,-0.23443159999999982,-0.25172997999999985,-0.21420526666666678,-0.14855316326530477,0.596623356,0.288109,0.505441,AmsterdamHerring,60.36,Herring,52.3730796,4.8924534,15633.333333333332,10.0,4.0,13.0,1563.3333333333333,4.100326633899648
1522,-0.12571542539639227,Amsterdam,-0.33045788300742435,-0.18614394329274955,-0.25960351706900864,2,4.75,52.25,-0.11267190534820265,-0.322694722026859,-0.10781246309037777,5.012859819743096,5.810706908855851,6.304348924718179,3.069127708186722,-0.5741515999999997,-0.5718259799999997,-0.5061919333333335,-0.5254103061224475,0.632770955,-0.366288,0.881716,AmsterdamHerring,60.6,Herring,52.3730796,4.8924534,70733.33333333333,13.0,5.0,11.0,5441.025641025641,4.104294893075269
1524,0.8061147192757758,Amsterdam,-0.5288495848712234,0.13914683544857756,-0.40202893416867347,2,4.75,52.25,-0.6509932309007265,0.4750754740501036,-1.1367759719145272,6.22702485007526,-5.488707492971057,5.5187612056049105,0.888697183254536,0.012816733333333427,-0.0010799799999999067,-0.0328752666666668,-0.007542959183672127,2.45276074,-0.15987,0.531597,AmsterdamHerring,61.92,Herring,52.3730796,4.8924534,84533.33333333333,6.0,1.0,2.0,14088.888888888889,4.125843229281472
1526,-0.07253843060622657,Amsterdam,-0.05350585563040999,-0.07544403195529943,-0.1790423714759077,2,4.75,52.25,1.6626930476731296,0.6194041864494285,-1.1251334278375615,-7.721303738811819,4.2431749567454755,4.354936616818438,2.7864606779498673,1.3827784,1.4262300200000002,1.3213247333333333,1.2341815306122461,0.482735407,0.840192,1.56755,AmsterdamHerring,61.56,Herring,52.3730796,4.8924534,21650.0,9.0,7.0,19.0,2405.5555555555557,4.120012308970678
1529,0.5553612824293629,Amsterdam,-0.4866510283107709,0.06471071770828564,-0.1252310715478251,2,4.75,52.25,0.27542021307338427,0.5916916329851186,0.0019472858618366266,-8.000422136589329,7.066492354878587,3.293610980391705,2.7760696159573355,-0.06406493333333317,-0.03485197999999979,-0.00010526666666670791,-0.08263479591836595,1.091738668,-0.117546,-0.219368,AmsterdamHerring,54.0,Herring,52.3730796,4.8924534,12630.0,8.0,3.0,7.0,1578.75,3.9889840465642745
1530,1.3601763121568677,Amsterdam,-0.33320495409808804,0.6738025261689067,-0.24033919458377417,2,4.75,52.25,-0.14944676334379658,-0.04479796887136633,-0.3408945588794987,16.1006824025546,-7.666229392851676,8.075487112424456,2.1871238029062816,0.5065234000000002,0.5253320200000001,0.4783080666666667,0.41500806122449135,2.337307871,-0.471792,-0.991856,AmsterdamHerring,52.44,Herring,52.3730796,4.8924534,13230.0,6.0,1.0,2.0,2205.0,3.959669658895499
1531,0.8507689013918251,Amsterdam,-0.2922115642096686,0.517067476941395,-0.2770180686249592,2,4.75,52.25,-1.4373492369767242,-0.6105544859889357,0.13100719121515797,9.860456138200083,7.284624185925102,6.980857764049006,3.454998099443572,0.09781840000000011,0.07342802000000022,0.07391140000000003,0.14521214285714434,-0.662463483,-0.158193,-0.0933321,AmsterdamHerring,53.28,Herring,52.3730796,4.8924534,10680.0,8.0,4.0,11.0,1335.0,3.9755610262321337
1534,-0.5762902226097021,Amsterdam,0.3271850284176875,-0.49528667477002764,0.06731789349059923,2,4.75,52.25,-2.4208810774120764,0.03231476492759545,-0.5521882420787414,0.274046172969624,-13.424881347248457,3.4659152498477663,2.8615444633678377,0.1981167333333335,0.20696202000000027,0.1544647333333334,0.11148765306122597,0.277854428,-0.560081,-0.0299837,AmsterdamHerring,41.04,Herring,52.3730796,4.8924534,5166.666666666667,10.0,6.0,14.0,516.6666666666667,3.714547200862514
1535,-0.05051460044279844,Amsterdam,-0.2686930910657289,-0.28598173844613406,-0.2162903218892582,2,4.75,52.25,-1.9287239353008303,0.2574831991653731,0.4445413723055276,-4.6315862302013935,-4.542523231944743,3.262309809187387,3.799124984162491,-0.1289015999999998,-0.16037197999999978,-0.1666252666666667,-0.08234908163265149,1.443935708,0.046025,0.702188,AmsterdamHerring,46.56,Herring,52.3730796,4.8924534,3066.6666666666665,10.0,3.0,4.0,306.66666666666663,3.8407418034231826
1536,-0.6981617177057536,Amsterdam,0.27851165483493956,-0.7190395128700005,-0.30432298297801696,2,4.75,52.25,-0.27307288171196337,-0.15214909010074748,0.41790122366897137,-11.852015070901691,-16.663149297301608,1.652679805060556,3.510383610532651,-0.5004949333333332,-0.5106979799999998,-0.46241526666666666,-0.4346756122448966,0.435934728,0.750011,0.95194,AmsterdamHerring,44.4,Herring,52.3730796,4.8924534,40066.666666666664,9.0,2.0,4.0,4451.851851851851,3.7932394694381792
1540,1.2048515957789567,Amsterdam,0.39344556466044756,0.27463790029537305,0.10837105809425505,2,4.75,52.25,-1.7722351778727712,-0.6090592577612677,0.8835919619159518,1.1660154029932006,-17.937666257791516,5.640052191399015,-0.04351642435854638,0.3823684000000001,0.3564360200000002,0.2997313999999999,0.3934366326530627,-4.112306683,0.49769,0.889875,AmsterdamHerring,60.0,Herring,52.3730796,4.8924534,1500.0,5.0,4.0,42.0,300.0,4.0943445622221
1542,0.7234229563803293,Amsterdam,-0.7459036471122407,0.2182662061709425,-0.5192002536679402,2,4.75,52.25,0.4874624793884046,0.3176349101106851,-0.3641122113712516,12.844284869223237,10.269397874377077,8.3240305103983,3.115382786905957,-0.7084649333333332,-0.7167119799999998,-0.6421286000000002,-0.6196449999999986,-4.607169341,-0.792067,0.588939,AmsterdamHerring,42.72,Herring,52.3730796,4.8924534,31966.666666666668,7.0,4.0,7.0,4566.666666666667,3.7546671946519394
1545,0.42559712716744785,Amsterdam,0.16194131771456313,0.16069631452440228,-0.029108281160481263,2,4.75,52.25,-1.4475210062095483,0.11857170001388963,-1.2651568210710327,5.1948782133408535,-3.8705873087983704,6.719244060247903,3.7673733390282944,0.6384850666666669,0.6848040200000002,0.6935147333333332,0.5835590816326546,-1.031382445,0.244261,2.15176,AmsterdamHerring,52.56,Herring,52.3730796,4.8924534,4125.0,5.0,1.0,1.0,825.0,3.961955374176355
1546,-0.9070257665660754,Amsterdam,-0.15038589609448122,-0.7097430691039994,-0.3091297347903413,2,4.75,52.25,-1.547673810963506,-0.26100696408765306,0.3431323933564222,-19.904617355118788,-3.4635526768205294,3.209201671323659,2.2036731442128175,-0.7422682666666666,-0.7790639799999997,-0.7101052666666666,-0.5939103061224477,-1.808056936,0.153583,1.02079,AmsterdamHerring,54.0,Herring,52.3730796,4.8924534,8125.0,4.0,1.0,2.0,2031.25,3.9889840465642745
