Year,Region,Famine,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,temp_winter,temp_summer,temp_winter_europe,temp_summer_europe,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,PDSI_europe,PDSI,nino34,nino3,nino4,nino12,NAO_cal,NAO_model,JSL,Century,Famine_before,Famine_after,Famine_after2,Famine2Y,Famine3Y,Famine1Y,Famine_dur,Famine_dur2,Famine_start,Famine_end
1500,Central Europe,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.38004526110486614,0.4471135642897386,-0.6995978690488676,0.09511927213084587,3.129914544141175,-2.798040599397036,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.4883538296939152,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Great Britain,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.3561739350923402,0.04697481939597044,-0.6995978690488676,0.09511927213084587,5.554288700495537,2.6911867376355385,3.701608190240181,1.530405032374305,-0.6684237512142975,-1.2110830643046169,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,France,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.1470819234709392,0.1833046166211278,-0.6995978690488676,0.09511927213084587,8.368321828219242,-0.09086748920337478,3.701608190240181,1.530405032374305,-0.6684237512142975,-1.017385229032328,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Ireland,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.18980995344079482,0.020377025249341013,-0.6995978690488676,0.09511927213084587,9.912614103118964,5.205709984382999,3.701608190240181,1.530405032374305,-0.6684237512142975,-1.129915190434337,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Italy,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,0.20065069864012705,0.214870535536554,-0.6995978690488676,0.09511927213084587,8.100132730959158,2.800550674850532,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.7630508951334632,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,1,0,0,0,0.0,0.0,0,0
1500,Low Countries,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.3213758802943218,0.16329203173330278,-0.6995978690488676,0.09511927213084587,-1.9393897556327002,-7.192650750508884,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.5800368543565116,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Nordic Countries,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,-0.33410180040242793,0.15571422214868635,-0.6995978690488676,0.09511927213084587,3.118983444966116,1.3489988638324295,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.7530428736722077,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Russia/Ukraine,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,0.05672879230435529,0.45668721880741625,-0.6995978690488676,0.09511927213084587,4.994943123920318,-0.3475690990511764,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.7439661262443239,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1500,Spain,0,28533.333333333332,9.0,3.0,8.0,3170.3703703703704,0.02194591529735812,-0.07079546960795016,-0.6995978690488676,0.09511927213084587,9.641681694604111,5.358346292585682,3.701608190240181,1.530405032374305,-0.6684237512142975,-0.7916725805833972,-0.1625159799999998,-0.15503659999999986,-0.13941193333333346,-0.11759397959183532,0.143463,1.13431,0.902820899,16,0,0,0,0,0,0,0.0,0.0,0,0
1501,Central Europe,0,29233.333333333332,10.0,4.0,28.0,2923.333333333333,-0.9896895682663948,0.11252745607107745,0.17418790849207832,-0.055762120148231065,0.19176449846196997,-3.094529446425855,6.950089528211796,2.2341296365767267,-0.3106395567464289,-0.24504403501413724,-0.48515997999999977,-0.47998326666666646,-0.4374619333333334,-0.4283796938775495,-0.599483,-0.479673,-3.077853339,16,0,0,0,0,0,0,0.0,0.0,0,0
1501,Great Britain,0,29233.333333333332,10.0,4.0,28.0,2923.333333333333,-0.32448768140764966,-0.17665430673949462,0.17418790849207832,-0.055762120148231065,3.784956262443794,6.480718116736808,6.950089528211796,2.2341296365767267,-0.3106395567464289,-0.5154939739531501,-0.48515997999999977,-0.47998326666666646,-0.4374619333333334,-0.4283796938775495,-0.599483,-0.479673,-3.077853339,16,0,0,0,0,0,0,0.0,0.0,0,0
