Year,temp_winter,Location,temp_summer,temp_winter_europe,temp_summer_europe,loc_id,lon,lat,PDSI,PDSI_europe,PDSI_southern,precip_winter,precip_summer,precip_winter_europe,precip_summer_europe,enso1,ensovar,enso2,nino3,nino34,nino4,nino12,JSL,NAO_cal,NAO_model,price,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio,logprice,teleco_PDSI_05,teleco_PDSI_01,teleco_PDSI_10,teleco_precip_summer_05,teleco_precip_summer_01,teleco_precip_summer_10,teleco_precip_winter_05,teleco_precip_winter_01,teleco_precip_winter_10,teleco_temp_winter_05,teleco_temp_winter_01,teleco_temp_winter_10,teleco_temp_summer_05,teleco_temp_summer_01,teleco_temp_summer_10
1508,-0.19731153340283064,Albi,-0.9053262258733361,-0.4001194476266186,-0.286659001678371,0,2.147899,43.9277552,1.3114274274831248,0.319480956735225,-0.017326590365277443,14.20066750213508,11.007615958713266,6.297981135130363,4.270606144450577,0.271,1.045,-0.204,0.32778673333333347,0.3175640200000003,0.26630806666666657,0.293691734693879,-2.481220902,0.476179,0.968338,17.3118131868,5733.333333333334,6.0,1.0,3.0,955.5555555555557,2.851389111640044,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1509,-0.3995671948840311,Albi,-0.6367557455795061,-0.23926013829899997,-0.26748544241956107,0,2.147899,43.9277552,0.9918572960938477,0.5181480724100913,0.2974919597362635,6.775125309528066,15.330329453060122,4.318664821641804,3.478154420919608,0.718,1.002,-0.87,-0.32638493333333324,-0.35337197999999986,-0.31284860000000003,-0.2325939795918354,-0.196707436,0.52842,0.586647,14.7150412088,4333.333333333334,6.0,2.0,4.0,722.2222222222223,2.6888701821436283,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1510,-0.4859047604360611,Albi,0.06142900941408324,-0.24949590477939376,-0.14530208116856394,0,2.147899,43.9277552,0.803174931284221,0.8247971096656982,-0.5291699039814893,1.847644136574644,7.526071679339855,3.3650191595712187,3.152895093444979,-1.041,0.914,-1.157,-0.38413826666666656,-0.3732659799999998,-0.33341526666666665,-0.36647153061224325,-0.401114591,-0.261194,0.0629704,6.05913461538,4333.333333333334,5.0,2.0,2.0,866.6666666666667,1.8015669871413662,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1511,-0.8615872160057136,Albi,-0.5021886318134442,-0.5178854518632268,-0.4029404794581039,0,2.147899,43.9277552,1.4686627314911471,0.22411778472159716,-0.6016402589258072,6.254398768657695,1.1027663491551583,4.779460408468173,4.124886067089577,1.21,0.863,0.642,1.1041134000000001,1.1547380200000001,1.0408680666666668,0.9029264285714301,0.979323606,0.80343,0.998086,7.79031593407,5375.0,4.0,2.0,6.0,1343.75,2.052881415423556,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1512,-0.17929106133737022,Albi,-0.08933773763628329,-0.4074904267643337,-0.015366485079211713,0,2.147899,43.9277552,-1.2927291751146033,-0.40878816849756805,-0.7579632581616116,15.992570029454601,4.403082198069917,5.742459168947371,3.971345099944247,-0.269,1.062,-0.683,-0.5314765999999999,-0.6089179799999997,-0.5625352666666666,-0.3376347959183658,0.715458876,0.181379,0.196449,11.2526785714,9775.0,8.0,5.0,14.0,1221.875,2.4206061955458127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1513,-1.4729354567421162,Albi,-0.8274643084556542,-0.8094154220874008,-0.2636819414102029,0,2.147899,43.9277552,-0.2014311732427094,-0.22612221265583365,-0.041810161124125396,16.824940018951246,13.215827242570697,5.522814274224638,3.5868688647969424,-0.294,0.999,-1.445,-0.31243326666666654,-0.27889197999999976,-0.20875193333333328,-0.30665520408163105,-2.809514715,0.185614,0.246433,12.9838598901,19775.0,7.0,3.0,4.0,2825.0,2.5637070391882633,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1514,-0.9000192260093978,Albi,-0.313462904051295,-0.6748894451676299,-0.34484290772419957,0,2.147899,43.9277552,-1.1295444271711426,0.11995870331112227,0.07469039908859622,14.244267691903024,0.298082335000717,4.611552495460774,2.8710659402300407,1.012,0.999,0.468,0.2613484000000001,0.2826560200000001,0.22621139999999987,0.1649570408163279,-0.4215496,0.484727,0.254751,17.3118131868,10775.0,5.0,1.0,1.0,2155.0,2.851389111640044,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1515,0.409798883266398,Albi,-1.2558862901456889,0.423423889169648,-0.3309925518356831,0,2.147899,43.9277552,1.5298570119699448,0.0753238895548347,-1.046132062076625,1.3003021786127373,13.066195109396606,6.8009610018923325,3.8483757473113114,-0.392,0.93,-0.841,0.08990506666666681,0.06580402000000021,0.04863139999999992,0.10801826530612389,-0.227701333,0.395779,0.316102,37.2203983515999,8275.0,6.0,5.0,16.0,1379.1666666666667,3.6168569537790756,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1516,-0.7095244982926026,Albi,0.6522879539724974,-0.11686883140281498,-0.028731212803614514,0,2.147899,43.9277552,-1.5026595539793681,-0.654480670113631,-0.7311693697332542,7.222280534590981,3.8863229170734126,5.955358516260785,0.20048810716907658,-0.705,1.173,-1.644,-0.5438599333333332,-0.5649799799999997,-0.5048219333333334,-0.44657357142857,0.080545355,0.182902,-0.042252,28.9123097491088,7275.0,8.0,4.0,6.0,909.375,3.364267447306208,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1517,-1.4386635125658414,Albi,0.34877810461107916,-0.6162431826181707,-0.22380671701997557,0,2.147899,43.9277552,-4.03202314710301,-1.4740320175935502,0.8194526733303377,15.261930479061533,6.347116371187589,3.1524866367262865,3.797170674524953,-0.797,0.878,-0.129,-0.4974649333333332,-0.4868859799999998,-0.4547286000000001,-0.4958082653061209,-1.678835456,-0.289481,0.047831,19.0429945055,2200.0,5.0,0.0,0.0,440.0,2.946699291445419,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
