Year,TypeLocation,Catch,type,location,logcatch,nino3,nino34,nino4,nino12,JSL,NAO_cal,NAO_model,Deaths,ongoing_wars,started_wars,total_duration,Death_ratio
1520,Herring_Flemish,33306.0,Herring,Flemish,10.413522864087675,0.5186450666666667,0.5334340200000002,0.5085314000000001,0.48767132653061374,-1.860499453,0.427161,0.980838,2400.0,8.0,2.0,8.0,300.0
1521,Herring_Flemish,11649.0,Herring,Flemish,9.363061458993847,-0.23443159999999982,-0.25172997999999985,-0.21420526666666678,-0.14855316326530477,0.596623356,0.288109,0.505441,15633.333333333332,10.0,4.0,13.0,1563.3333333333333
1522,Herring_Flemish,8423.0,Herring,Flemish,9.03884005381381,-0.5741515999999997,-0.5718259799999997,-0.5061919333333335,-0.5254103061224475,0.632770955,-0.366288,0.881716,70733.33333333333,13.0,5.0,11.0,5441.025641025641
1523,Herring_Flemish,15240.0,Herring,Flemish,9.63174444388585,-0.14822326666666646,-0.13570397999999978,-0.14785193333333344,-0.20465520408163126,-0.514698591,-0.0623587,0.583854,15733.333333333332,11.0,1.0,2.0,1430.3030303030303
1524,Herring_Flemish,16754.0,Herring,Flemish,9.726452000171411,0.012816733333333427,-0.0010799799999999067,-0.0328752666666668,-0.007542959183672127,2.45276074,-0.15987,0.531597,84533.33333333333,6.0,1.0,2.0,14088.888888888889
1525,Herring_Flemish,12677.0,Herring,Flemish,9.447623486844112,0.2632684000000001,0.2633680200000002,0.23672473333333338,0.24240602040816472,-1.242001811,0.118286,0.966186,84533.33333333333,5.0,2.0,4.0,16906.666666666664
1526,Herring_Flemish,22721.0,Herring,Flemish,10.03108889712985,1.3827784,1.4262300200000002,1.3213247333333333,1.2341815306122461,0.482735407,0.840192,1.56755,21650.0,9.0,7.0,19.0,2405.5555555555557
1527,Herring_Flemish,16794.0,Herring,Flemish,9.728836502046393,0.6900117333333335,0.6714260200000003,0.6560380666666666,0.7534162244897974,-2.192696836,0.0183651,-0.0171766,16296.666666666668,11.0,5.0,25.0,1481.5151515151517
1528,Herring_Flemish,21858.0,Herring,Flemish,9.992368015030003,-0.07185493333333322,-0.06370997999999985,0.023418066666666598,0.024650918367348437,2.739610504,-0.482475,0.199686,16296.666666666668,9.0,0.0,0.0,1810.7407407407409
1529,Herring_Flemish,30643.0,Herring,Flemish,10.330192163636712,-0.06406493333333317,-0.03485197999999979,-0.00010526666666670791,-0.08263479591836595,1.091738668,-0.117546,-0.219368,12630.0,8.0,3.0,7.0,1578.75
